level_0,index,ran_lat,ran_lng,Name,Country Code,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),lat,lng
567,1271,45.649199868946056,123.56064320016822,zhenlai,cn,45.93,65.0,2.0,13.15,45.85,123.3
568,1272,0.7236160740710034,-115.86121503693617,san patricio,mx,91.4,75.0,20.0,4.85,19.22,-104.7
569,1273,44.66757425906812,29.751957081382926,sfantu gheorghe,ro,48.99,90.0,49.0,2.64,45.87,25.78
570,1277,64.67536040200991,177.2341962904252,anadyr,ru,37.4,93.0,75.0,11.18,64.75,177.48
571,1279,-41.24015917100127,154.6621148707352,batemans bay,au,71.01,47.0,0.0,5.99,-35.72,150.18
572,1281,5.486112856104967,65.8301033324891,ugoofaaru,mv,81.75,77.0,85.0,13.82,5.67,73.0
574,1283,50.53629782242291,77.34376942300759,aksu,kz,32.0,67.0,10.0,2.24,52.03,76.92
575,1287,73.09786850392183,67.07511039606658,sovetskiy,ru,48.24,76.0,79.0,9.28,61.36,63.58
577,1292,-2.255191267828593,124.17087032717296,luwuk,id,79.16,78.0,100.0,7.36,-0.95,122.79
578,1293,53.53193562036901,107.86449637498333,khuzhir,ru,33.48,85.0,84.0,17.65,53.19,107.34
579,1298,4.015393950392095,-44.44886991862526,salinopolis,br,80.58,81.0,98.0,12.12,-0.61,-47.36
